serial_no,exam_name,question,options/A,options/B,options/C,options/D,answer,explanation
14,MAT 2024-2025,"পূর্ণবয়স্ক সুস্থ মানুষের দুই বৃক্কে প্রতি মিনিটে মোট রক্ত সঞ্চালনের
পরিমাণ-",২৫০ মিঃ লিঃ,১২৫ মিঃ লিঃ,৩৭৫ মিঃ লিঃ,১২০০ মিঃ লিঃ,D,মানবদেহে দুটি বৃক্কের মাধ্যমে প্রতি মিনিটে প্রায় 1200 ml রক্ত প্রবাহিত হয়। এ রক্ত থেকে প্রায় 125 ml গ্লোমেরুলার ফিলট্রেট উৎপন্ন হয়ে বোম্যানস ক্যাপসুলে জমা হয় এবং মাত্র 1 ml মূত্র সৃষ্টি হয়।
15,MAT 2024-2025,কোনটির উপস্থিতিতে স্নেহ পদার্থের ইমালসিফিকেশন হয়?,বাইল সল্ট,এনজাইম,ভিটামিন,হরমোন,A,"পিত্তরসে অবস্থিত পিত্তলবণ (bile salt) যেমন- সোডিয়াম dm গ্লাইকোকোলেট, সোডিয়াম টরোকোলেট, পটাসিয়াম গ্লাইকোকোলেট ও পটাশিয়াম টারোকোলেট স্নেহজাতীয় খাদ্যকে ভেঙ্গে ক্ষুদ্র ক্ষুদ্র কণায় পরিণত করে। এ প্রক্রিয়াকে অবদ্রবণ বা ইমাসিফিকেশন বলে।"
16,MAT 2024-2025,নিচের কোনটি নাইট্রোজেনবিহীন পদার্থ?,ল্যাকটিক এসিড,ক্রিয়েটিনিন,এমোনিয়া,ইউরিয়া,A,"প্রোটিনবিহীন নাইট্রোজেনঘটিত রেচন পদার্থ ইউরিয়া, ইউরিক এসিড, ক্রিয়েটিনিন, জ্যানথিন, হাইপোজ্যানথিন, অ্যামোনিয়া।"
17,MAT 2022-2023,মুখে খাওয়ার পোলিও ভ্যাকসিনটি কোন ধরনের ভ্যাকসিন?,নিষ্ক্রিয় টিকা,জীবনস্মৃত জীবন্ত টিকা,উপএকক টিকা,অনুবন্ধী টিকা,B,"মৃত বা নিষ্ক্রিয় ভ্যাক্সিনের উদাহরণ: ইনফ্লুয়েঞ্জা, কলেরা, পোলিও (IPV Inactivated Polio Vaccine যেটি injectable), হেপাটাইটিস-এ।
জীবনমৃত জীবন্ত টিকা (Live Attenuated Vaccine) এর উদাহরণ: মুখে খাওয়ার পোলিও ভ্যাক্সিন, (OPV→Oral Polio Vaccine), মাম্পস, জলাতঙ্ক, যক্ষ্মা, প্লেগ, টাইফয়েড।"
18,MAT 2022-2023,নিচের কোনটি ম্যাক্রোফেজের কাজ নয়?,বিভিন্ন ধরনের কোষবিষ তৈরি করা,বিভিন্ন ধরনের এন্টিবডি তৈরি করা,জীর্ণ কোষকে অপসারন করা,রিঅ্যাকটিভ অক্সিজেন ইন্টারমিডিয়েট তৈরি করা,B,অ্যান্টিবডি তৈরি করা লিম্ফোসাইটের কাজ।
19,MAT 2022-2023,অন্তঃশ্বসন-,কোষ ও রক্তে সংঘটিত হয়,নির্দিষ্ট পরিমাণ শক্তি উৎপন্ন করে,এনজাইম দ্বারা প্রভাবিত হয় না,একটি ভৌত রাসায়নিক প্রক্রিয়া,"A,B","অন্তঃশ্বসন দেহকোষ ও রক্তে সংগঠিত হয়, নির্দিষ্ট পরিমাণ শক্তি উৎপন্ন করে, এনজাইম দ্বারা প্রভাবিত হয়। এবংএটি একটি জৈব রাসায়নিক প্রক্রিয়া"
20,MAT 2022-2023,Mollusca এর ক্ষেত্রে কোনটি সঠিক?,নরম কিউটিকুলার এপিডার্মিস দ্বারা আবৃত,নরম ও অখন্ডায়িত,প্রতি খন্ডে নেফ্রিডিয়া বিদ্যমান থাকে,দেহাভ্যন্তরে কেন্দ্রীয় গহ্বর বিদ্যমান,B,"Mollusca নরম মাংসল, অখন্ডকায়িত Annelida নরম কিউটিকলে আবৃত এবং এর প্রতিটি খণ্ডে নেফ্রিডিয়া থাকে।"
21,MAT 2022-2023,গ্লুকাগন-,রক্তে সুগার কমায়,অগ্ন্যাশয়ের ডেলটা কোষ থেকে নিঃসৃত হয়,একটি পলিপেপটাইড এনজাইম,ইনসুলিনের সাথে বিপরীতভাবে সম্পর্কিত,D,"গ্লুকাগন একটি পলিপেপটাইড হরমোন, অগ্ন্যাশয়ের a কোষ থেকে নিঃসৃত হয়, রক্তে সুগার বৃদ্ধি করে।"
22,MAT 2022-2023,মানবদেহে কোনটি লুপ্তপ্রায় অংগ?,থাইরয়েড গ্ল্যান্ড,থাইমাস,স্ক্যাপুলা,ক্যানাইন দাঁত,B,"মানবদেহের লুপ্তপ্রায় অঙ্গগুলো হলো থাইমাস গ্রন্থি, আক্কেল দাঁত, কর্তন দাঁত, পুচ্ছাস্থি, গায়ের লোম, উপপল্লব ইত্যাদি।"
23,MAT 2022-2023,কোন উদ্দীপনা অ্যানিমোট্যাক্সিসকে প্রভাবিত করে?,বায়ুপ্রবাহ,আর্দ্রতা,মাধ্যাকর্ষণ,তাপ,A,বায়ু প্রবাহের প্রতি প্রাণীর সাড়া অ্যানিমোট্যাক্সিস
24,MAT 2022-2023,মায়োফাইব্রিলে কি ধরনের আমিষ থাকে?,অ্যাকটিন এবং মায়োসিন,অ্যাকটিন এবং জিলাটিন,মায়োসিন এবং ইলাস্টিন,কোলাজেন এবং মায়োসিন,A,মায়োফাইব্রিলে গুলো অ্যাকটিন ও মায়োসিন নামক প্রোটিন দিয়ে নির্মিত।
25,MAT 2022-2023,অন্ত্রের প্রথম প্রতিরক্ষার স্তর কোনটি?,"পাকস্থলির অ্যাসিড, মাইক্রোবায়োম ও মলত্যাগ","সিলিয়া, কমপ্লিমেন্ট তন্ত্র ও সাইটোকাইনস","ত্বক, ফ্যাগোসাইটস ও কমপ্লিমেন্ট তন্ত্র","লালা, পাকস্থলির এনজাইম ও ফ্যাগোসাইটস",A,"অস্ত্রের প্রথম প্রতিরক্ষা স্তর এর উপাদান পাকস্থলির অ্যাসিড ও এনজাইম, মাইক্রোবায়োম, মলত্যাগ ও বমি।"
26,MAT 2022-2023,বুকের দুধের কোন উপাদানটি নবজাতকের প্রতিরক্ষায় কার্যকর?,সহজপাচ্য আমিষ,ইমিউনোগ্লোবুলিন-এ,পলিআনস্যাচুরেটেড ফ্যাটি অ্যাসিড,গ্যালাকটোজ,B,ইমিউনোগ্লোবুলিন-এ মায়ের দুধের মাধ্যমে শিশুদেহে প্রবেশ করে এবং প্রাকৃতিক অক্রিয় প্রতিরক্ষা দান করে।
27,DAT 2021-2022,নিচের কোন স্তন্যপায়ী প্রাণী ডিম পাড়ে?,বাদুর (Bat),ক্যাঙ্গারু (Kangaroo),প্লাটিপাস (Platypus),সীল (Seal),C,প্লাটিপাস স্তন্যপায়ী প্রাণীর Prototheria উপশ্রেণীভুক্ত। এরা ডিম পাড়ে এবং ডিম থেকে অপরিণত নবজাতকের জন্ম হয়।
29,DAT 2021-2022,নিচের চার প্রকোষ্ঠ বিশিষ্ট হৃদপিন্ড কোন প্রাণীতে দেখা যায়?,কুমীর,কচ্ছপ,টিকটিকি,সাপ,A,"কচ্ছপ, টিকটিকি (উভচর) → হৃৎপিণ্ড তিন প্রকোষ্ঠবিশিষ্ট,
সাপ (সরীসৃপ) → হৃৎপিণ্ড অসম্পূর্ণভাবে চার প্রকোষ্ঠবিশিষ্ট,
সরীসৃপে ব্যতিক্রম কুমীর → হৃৎপিণ্ড সম্পূর্ণভাবে চার প্রকোষ্ঠবিশিষ্ট।"
30,DAT 2021-2022,কোন hormone পাকস্থলির এসিড নিঃসরণ নিয়ন্ত্রণ করে?,কোলোসিস্টোকাইনিন,সিক্রেটিন,এন্টেরোকাইনিন,গ্যাস্ট্রিন,D,গ্যাস্ট্রিন হরমোন পাকস্থলি থেকে নিঃসৃত HCI এসিডের নিঃসরণ নিয়ন্ত্রণ করে।
31,DAT 2021-2022,কোন কোষ বিভাজন পদ্ধতিতে RBC তৈরি হয়?,synopsis,mitosis,meiosis,amitiosis,B,মাইটোসিস পদ্ধতিতে লোহিত রক্তকণিকা তৈরী হয়।
32,DAT 2021-2022,কোন hormone রক্তে Na+ এবং K+ এর সমতা রক্ষা করে?,ইনসুলিন,থাইরোক্সিন,এলডোস্টেরন,এড্রেনালিন,C,অ্যাড্রেনাল কর্টেক্স থেকে ক্ষরিত অ্যালডোস্টেরন হরমোন Na+ ও K+ আয়নের সমতা রক্ষা করে।
33,DAT 2021-2022,স্বাভাবিক অবস্থায় হৃদপিন্ডের পেসমেকার কোনটি?,Bundle of His,SA node,AV node,Purkinje fiber,B,"স্বাভাবিক অবস্থায় হৃৎপিণ্ডের পেসমেকার → SA node,
সংরক্ষিত বা রিজার্ভ পেসমেকার → AV node."
34,DAT 2021-2022,নিচের কোন রক্তকণিকাটি স্মৃতিকোষ?,বেসোফিল,মনোসাইট,নিউট্রোফিল,লিম্ফোসাইট,D,স্মৃতিকোষ হলো লিম্ফোসাইট নামক অদানাদার শ্বেত রক্তকণিকা। এগুলো অ্যান্টিজেনকে চিহ্নিত ও মোকাবেলা করে।
35,DAT 2021-2022,যকৃতে অবস্থিত ম্যাক্রোফেজকে কি কোষ বলে?,অস্টিওব্লাস্ট,কুফার কোষ,মাইক্রোগ্লিয়া,ডেনড্রাইটিক কোষ,B,"ম্যাক্রোফেজ:
কুফার কোষ → যকৃত,
অস্টিওব্লাস্ট → অস্থি,
মাইক্রোগ্লিয়া → মস্তিষ্ক"
36,DAT 2021-2022,পূর্ণবয়স্ক সুস্থ মানুষের দেহের ওজনের কত শতাংশ রক্ত থাকে?,৭-৮%,১৫-১৯%,১৯-২০%,১০-১৫%,A,পূর্ণবয়স্ক সুস্থ মানবদেহে প্রায় ৫-৬ লিটার রক্ত থাকে যা দেহের মোট ওজনের ৭-৮%
37,MAT 2024-2025,নিচের কোনটিতে হাইড্রার বহিঃকোষীয় পরিপাক সংঘটিত হয়?,গ্যাসট্রোডার্মিস,হাইপোস্টোম,সিলেন্টেরন,কর্ষিকা,C,সিলেন্টেরন / পরিপাক-সংবহন গহ্বর / গ্যাস্ট্রোভাস্কুলার গহ্বর / ব্লাইন্ড গাট/ব্লাইন্ড স্যাক → এর মধ্যে খাদ্যবস্তু ফ্লাজেলীয় কোষের ক্রিয়ায় ক্ষুদ্র কণায় পরিণত হয় এবং পরে বহিঃকোষীয় পরিপাক ঘটে।
38,DAT 2021-2022,ব্লাড গ্রুপ AB তে প্লাজমায়-,কোন antibody থাকে না,A antibody থাকে,A ও B antibody থাকে,B antibody থাকে,A,A ব্লাড গ্রুপবিশিষ্ট ব্যক্তির রক্তরসে কোন অ্যান্টিবডি থাকে না কিন্তু লোহিত রক্তকণিকার ঝিল্লিতে অ্যান্টিজেন A ও B উভয়ই থাকে।
39,DAT 2021-2022,কোনটি প্লাজমা প্রোটিন নয়?,ক্রিয়েটিনিন,ফাইব্রিনোজেন,অ্যালবুমিন,গ্লোবুলিন,A,"ক্রিয়েটিনিন → নাইট্রোজেনঘটিত রেচন পদার্থ,
ফাইব্রিনোজেন, অ্যালবুমিন, গ্লোবুলিন → প্লাজমা প্রোটিন।"
40,DAT 2021-2022,কোন রক্তকণিকা দেহে antibody তৈরি করে?,নিউট্রোফিল,বেসোফিল,অনুচক্রিকা,বি-লিম্ফোসাইট,D,B-লিম্ফোসাইট দেহে অ্যান্টিবডি তৈরি করে। অ্যান্টিবডি রক্তে প্রবাহিত অ্যান্টিজেনকে ঘিরে ফেলে এবং ধ্বংশ করে।
41,DAT 2021-2022,কোনটি Live attenuated ভ্যাক্সিন?,হাম,হেপাটাইটিস বি,টিটেনাস,ইনফ্লুয়েঞ্জা,A,"মিজলজ (হাম) → Live attenuated vaccine,
হেপাটাইটিস বি → Subunut vaccine,
টিটেনাস → Toxoid vaccine,
ইনফ্লুয়েঞ্জা → Killed or Inactivated vaccine."
42,DAT 2021-2022,আমাদের জাতীয় পাখির বৈজ্ঞানিক নাম কি?,Gracula religiosa,Copsychus saularis,Passer domesticus,Columba livia,B,আমাদের জাতীয় পাখি দোয়েলের বৈজ্ঞানিক নাম Copsychus saularis
43,MAT 2021-2022,মানবদেহের কোন অঙ্গে সবচেয়ে বেশি মাত্রায় রক্ত প্রবাহিত হয়?,বৃক্ক,মস্তিষ্ক,যকৃত,অস্ত্র,C,দেহে রক্ত প্রবাহের মাত্রা বিভিন্ন কলায় ভিন্ন রকম হয়। যকৃতে সবচেয়ে বেশি মাত্রায় (1350 ml/min) রক্ত প্রবাহিত হয়। বৃক্কে (1100 ml/min) রক্ত প্রবাহিত হয়। মস্তিষ্কে (700 ml/min) রক্ত প্রবাহিত হয়।
44,MAT 2021-2022,ক্ষুদ্রান্ত্রের কোন স্তরে গবলেট কোষ থাকে?,সেরোসা,মিউকোসা,মাসকুলারিস মিউকোসা,সাবমিউকোসা,B,ক্ষুদ্রান্ত্রের মিউকোসা স্তরে গবলেট কোষ থাকে।
45,MAT 2021-2022,ভ্রুণ অবস্থায় মাতৃগর্ভে কখন প্রথম হৃদস্পন্দন শুরু হয়?,দশম সপ্তাহ,অষ্টম সপ্তাহ,ষষ্ঠ সপ্তাহ,দ্বাদশ সপ্তাহ,C,ভ্রুণ অবস্থায় মাতৃগর্ভে ষষ্ঠ সপ্তাহে প্রথম হৃদস্পন্দন শুরু হয়।
46,MAT 2021-2022,মাতৃদুগ্ধে কোন ধরনের immunoglobulin থাকে?,IgM,IgE,IgD,IgA,D,মাতৃদুগ্ধে IgA immunoglobulin থাকে।
47,MAT 2021-2022,মানুষের হৃদপিন্ডের কোন প্রকোষ্ঠের প্রাচীর সবচেয়ে পুরু?,বাম অলিন্দ,ডান নিলয়,ডান অলিন্দ,বাম নিলয়,D,মানুষের হৃদপিন্ডের বাম নিলয়ের প্রাচীর সবচেয়ে পুরু।
48,MAT 2021-2022,প্রজাপতি' এর প্রতিসাম্যতা কোন ধরনের?,অরীয়,দ্বি-অরীয়,দ্বিপার্শ্বীয়,অপ্রতিসাম্য,C,প্রজাপতি' এর প্রতিসাম্যতা 'দ্বিপার্শ্বীয়' ধরনের।
49,MAT 2021-2022,ঘাসফড়িং এর কোন গ্রন্থি থেকে জুভেনাইল হরমোন ক্ষরিত হয়?,প্রোথোরাসিক গ্রন্থি,কর্পোরা কার্ডিয়াকা,ইন্ট্রাসেরিব্রাল গ্রন্থিকোষ,কর্পোরা অ্যালাটা,D,ঘাসফড়িং এর কর্পোরা অ্যালাটা গ্রন্থি থেকে জুভেনাইল হরমোন ক্ষরিত হয়।
50,MAT 2021-2022,রক্তে অক্সিজেনের মাত্রা (O₂ saturation) ও হৃদস্পন্দন পরিমাপক যন্ত্রের নাম হল-,পালস অক্সিমিটার,থার্মোমিটার,স্ফিগমোম্যানোমিটার,ব্যারোমিটার,A,"থার্মোমিটার তাপমাত্রা পরিমাপক যন্ত্র, ব্যারোমিটার বায়ুচাপ পরিমাপক যন্ত্র, স্ফিগমোম্যানোমিটার রক্তচাপ পরিমাপক যন্ত্র, রক্তে অক্সিজেনের মাত্রা (O2 saturation) ও হৃদস্পন্দন পরিমাপক যন্ত্রের নাম পালস অক্সিমিটার।"
51,MAT 2021-2022,কেঁচো কোন অঙ্গের মাধ্যমে শ্বাসপ্রশ্বাস নেয়?,হৃদপিন্ড,ফুলকা,ত্বক,ফুসফুস,C,Annelida (কেঁচো)- সিক্ত দেহত্বক দ্বারা শ্বসন সম্পন্ন হয়।
52,MAT 2021-2022,কোন এনজাইম লালা গ্রন্থিতে পাওয়া যায়?,ট্রিপসিন,অ্যামাইলেজ,পেপসিন,টায়ালিন,D,"ট্রিপসিন এবং অ্যামাইলেজ অগ্ন্যাশয় গ্রন্থিতে পাওয়া যায়, পেপসিন গ্যাস্ট্রিক গ্রন্থিতে পাওয়া যায়, টায়ালিন এনজাইম লালা গ্রন্থিতে পাওয়া যায়।"
53,MAT 2021-2022,"কোন রক্ত কনিকা ""cell-mediated immunity” এর সাথে সম্পৃক্ত?",ইওসিনোফিল (Eosinophil),টি-লিম্ফোসাইট (T-lymphocyte),নিউট্রোফিল (Neutrophil),বেসোফিল (Basophil),B,T-lymphocyte cell mediated immunity প্রদান করে।
54,MAT 2021-2022,কোনটি autosomal recessive disorder?,থ্যালাসেমিয়া,লাল-সবুজ বর্ণান্ধতা,রাতকানা,হিমোফিলিয়া,A,"লাল-সবুজ বর্ণান্ধতা, রাতকানা, হিমোফিলিয়া- Sex-linked disorder. থ্যালাসেমিয়া- autosomal recessive disorder."
55,MAT 2021-2022,কোন এনজাইম আমিষ পরিপাকে সাহায্য করে?,ল্যাকটেজ,ট্রিপসিন,অ্যামাইলেজ,লাইপেজ,B,"ট্রিপসিন এনজাইম আমিষ পরিপাকে সাহায্য করে। ল্যাকটেজ, অ্যামাইলেজ এনজাইম শর্করা পরিপাকে সাহায্যে করে। লাইপেজ ফ্যাট পরিপাকে সাহায্য করে।"
56,MAT 2021-2022,কোন পদ্ধতিতে কোভিড ১৯ ভ্যাক্সিন প্রস্তুত করা হয় না?,উপএকক (Subunit vaccine),নিষ্ক্রিয় (Inactivated),এমআরএনএ (mRNA),বিষভিত্তিক (Toxoid),D,"উপএকক, নিষ্ক্রিয়, এমআরএনএ, প্রতিলিপিহীন ভাইরাল ভেক্টর, প্রোটিনের অংশ, ডিএনএ, ভাইরাসের ন্যায় বস্তু, প্রতিলিপি সক্ষম ভাইরাল ভেক্টর, অবনমিত ভাইরাস পদ্ধতিতে কোভিড ১৯ ভ্যাক্সিন প্রস্তুত করা হয়। বিষভিত্তিক (Toxoid) পদ্ধতিতে - Diptheria, Pertusis, Tetanus (DPT) ভ্যাক্সিন প্রস্তুত করা হয়।"
57,MAT 2020-2021,কোনটি ভাইরাস বৃদ্ধিতে বাঁধা দেয়?,Interferon,Lactorine,Lysozyme,Defensin,A,ইন্টারফেরন হলো প্রতিরক্ষামূলক প্রোটিন যা ভাইরাস আক্রান্ত কোষে উৎপন্ন হয়ে ভাইরাসের সংখ্যাবৃদ্ধিতে বাঁধা দেয়। এটি ক্যান্সার আক্রান্ত কোষের বৃদ্ধিতেও বাঁধা দিয়ে থাকে।
58,MAT 2020-2021,Alveolus থেকে অক্সিজেন রক্তে কিভাবে প্রবেশ করে?,Osmosis,Respiration,Transpiration,Diffusion,D,Diffusion বা ব্যাপন প্রক্রিয়ায় Alveolus এ ০₂ ও CO₂ গ্যাসের বিনিময় ঘটে।
59,MAT 2020-2021,কোনটি Exocrine গ্রন্থি নয়?,Thyroid gland,Pancreas,Liver,Salivary gland,A,"Thyroid gland থেকে শুধুমাত্র হরমোন (T3, T4 & Calcitonin) নিঃসৃত হয়। তাই এটি Endocrine gland."
60,MAT 2020-2021,কোনটি হাড়ের সাথে পেশি সংযুক্ত করে?,Myofibril,Ligament,Synovium,Tendon,D,"কন্ডরা/টেনডন (Tendon) - অস্থি ও পেশির মধ্যে সংযোগ স্থাপন করে।
লিগামেন্ট (Ligament) - দুটি অস্থিকে সংযুক্ত করে।
মায়োফাইব্রিল (Myofibril) - পেশি কোষের অভ্যন্তরে বিদ্যমান অতি সূক্ষ্ম তন্তু।
সাইনোভিয়াম (Synovium) - সাইনোভিয়াল অস্থিসন্ধির একটি আবরণী।"
61,MAT 2020-2021,মানবদেহের রক্তে কোন বাফার দ্রবণ (buffer solution) থাকে?,NaHCO3 and H2CO3,NH4Cl and NH4OH,CH3COONa and CH3COOH,Na2HPO4 and H3PO4,A,"মানবদেহের রক্তে তিন ধরনের বাফার সিস্টেম থাকে। যথা- বাইকার্বোনেট বাফার, ফসফেট বাফার ও
প্রোটিন বাফার। হিমোগ্লোবিন উৎকৃষ্ট বাফাররূপে রক্তের 'বাইকার্বনেট-কার্বনিক এসিড বাফার'-এর সামান্য (2%) নিয়ন্ত্রণ করে। ফসফেট বাফার সিস্টেম হলো আন্তঃকোষীয় বাফার। আর, প্রোটিন বাফার সিস্টেমটি প্লাজমা প্রোটিন ও হিমোগ্লোবিন প্রোটিন সমন্বয়ে গঠিত।"
62,MAT 2020-2021,কোনটি আমিষ পরিপাককারী (digesting) এনজাইম?,Lipase,Pepsin,Lactase,Isomaltase,B,"Lipase → স্নেহ পরিপাককারী এনজাইম।
Isomaltase, Lactase → শর্করা পরিপাককারী এনজাইম।
Pepsin, Trypsin, Chymotrypsin, Aminopeptidase, Carboxypeptidase, Tri/Di-peptidase প্রভৃতি → আমিষ পরিপাককারী এনজাইম।"
63,MAT 2020-2021,নেমাটোসিস্টের (Nematocyst) ভিতরে বিষাক্ত তরল পদার্থের নাম কী?,Hypnotoxin,Toxin,Hemocyanin,Hemozoin,A,নেমাটোসিস্টের ভেতর হিপনোটক্সিন (Hypnotoxin) নামক বিষাক্ত তরল থাকে যা প্রোটিন ও ফেনল দ্বারা গঠিত।
